Fecha,Nombre del Comercio,Direccion del Comercio,Vecindario del Comercio,Area del Comercio,Codigo Postal del Comercio,Categoria del Comercio,Telefono del Comercio,Web del Comercio,Moneda,Cantidad Total,Descripcion del Producto,SKU del Producto,UoM del Producto,Categoria del Producto,Precio Unitario del Producto
2024-04-14 13:25:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,www.advanceautoparts.jobs,USD,7.48,Jb Kwikweld Syringe  E ,N/A,N/A,Repairs & Maintenance,6.99
2024-04-14 08:59:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,www.advanceautoparts.jobs,USD,13.9,Oil Stabilizer  Oz Lu ,10001,N/A,Repairs & Maintenance,12.99
2024-04-14 08:59:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,www.advanceautoparts.jobs,USD,13.9,Rule Spring  Bg,N/A,N/A,Repairs & Maintenance,-1.0
2024-04-14 08:59:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,www.advanceautoparts.jobs,USD,13.9,You Saved,N/A,N/A,Repairs & Maintenance,-4.0
2024-04-14 14:28:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,advanceautoparts.com,USD,8.55,Liltree Black Ice  Pk ,U6P60155,N/A,Repairs & Maintenance,7.99
2024-04-14 13:35:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,www.advanceautoparts,USD,9.62,Battery Remote  Ea  E ,ECR2025BP,N/A,Repairs & Maintenance,8.99
2024-04-14 11:20:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,www.advanceautoparts.jobs,USD,3.09,Coke Classic  Oz Ccol ,04403,N/A,Automotive,2.89
2024-04-14 14:09:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,www.advanceautoparts.jobs,USD,19.25,The Absorber Xl  EaTh ,34900,N/A,Repairs & Maintenance,17.99
2024-04-14 13:52:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,47.28,Oil Filter  Ea,M1108A,N/A,Repairs & Maintenance,12.36
2024-04-14 13:52:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,47.28,Mobil  W ,44899,N/A,Repairs & Maintenance,27.63
2024-04-14 13:52:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,47.28,W Small Eng OCounter ItemsMoSolo Items,46332,N/A,Repairs & Maintenance,7.29
2024-04-14 17:55:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,63.98,Ultimate Washwax   ,G17748,N/A,Repairs & Maintenance,31.98
2024-04-14 17:55:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,63.98,Bogo  Off Meguiars Ultimate,N/A,N/A,Repairs & Maintenance,-1.0
2024-04-14 17:55:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,63.98,You Saved,N/A,N/A,Repairs & Maintenance,-7.99
2024-04-14 17:55:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,63.98,Ultimate Washwax   ,G17748,N/A,Repairs & Maintenance,8.0
2024-04-14 17:55:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,63.98,Bogo  Off Meguiars Ultimate,N/A,N/A,Repairs & Maintenance,-1.0
2024-04-14 17:55:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,63.98,You Saved,N/A,N/A,Repairs & Maintenance,-7.99
2024-04-14 17:55:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,63.98,Sqft Drying Towel ,979700,N/A,Repairs & Maintenance,39.98
2024-04-14 15:33:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,9.94,Nat Shine Protect  Oz ,G4116,N/A,Repairs & Maintenance,9.29
2024-04-14 14:47:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,42.54,E Interior Detailer  ,842849,N/A,Repairs & Maintenance,9.49
2024-04-14 14:47:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,42.54,Tot Int Cpt Clnr  Ea ,572050C,N/A,Repairs & Maintenance,13.29
2024-04-14 14:47:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,42.54,Ultimate Black  Oz Mg ,G15812,N/A,Repairs & Maintenance,11.99
2024-04-14 14:47:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,42.54,Lt Spray Black Ice  ,UPS06355,N/A,Repairs & Maintenance,4.99
2024-04-14 17:40:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,www.advanceautoparts.jobs,USD,2.79,Fruit Punch  Oz Pwrad ,N/A,N/A,Automotive,2.79
2024-04-14 13:38:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Car Repair,13055527914,www.advancecareplus.com,USD,13.46,Led Bulb  Ea Sylvn,11349225,N/A,Repairs & Maintenance,-1.0
2024-04-14 13:38:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Car Repair,13055527914,www.advancecareplus.com,USD,13.46,Debslbp,N/A,N/A,Repairs & Maintenance,10.49
2024-04-14 13:38:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Car Repair,13055527914,www.advancecareplus.com,USD,13.46, Yr Replacement If Defective Toyota Runner,N/A,N/A,Repairs & Maintenance,-1.0
2024-04-14 13:38:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Car Repair,13055527914,www.advancecareplus.com,USD,13.46,M Acp PlanEqqvaenuzanwtab,N/A,N/A,Repairs & Maintenance,2.09
2024-04-14 13:28:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,25.85,Brake Cleaner  Oz ,W7340,N/A,Repairs & Maintenance,5.29
2024-04-14 13:28:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,25.85,Brake Cleaner  Oz  ,W7340,N/A,Repairs & Maintenance,5.29
2024-04-14 13:28:00,Advance Auto Parts,"12782 Southwest 8th Street, Miami, FL 33184-1326, USA",Miami,FL,33184-1326,Auto Parts  Supplies,13055527914,N/A,USD,25.85,Prm  Grit Sht  Ea ,03076,N/A,Repairs & Maintenance,7.29
